Team_Name,Team_ID
Chennai Super Kings,1
Kolkata Knight Riders,2
Lucknow Super Giants,3
Punjab Kings,4
Mumbai Indians,5
Gujarat Titans,6
Rajasthan Royals,7
Delhi Capitals,8
Sunrisers Hyderabad,9
Royal Challengers Bengaluru,10
No Result,11
