Match_ID,Over_Number,Ball_Number,Runs_Batter,Runs_Extras,Runs_Total,Is_Wide,Is_NoBall,Byes,LegByes,Is_Wicket,Dismissal_Kind,Substitution_Event,Batting_Team_ID,Batter_ID,Bowler_ID,Player_Out_ID
1473500,12,1,2,0,2,0,0,0,0,0,,0,1,6,134,
1473500,12,2,1,0,1,0,0,0,0,0,,0,1,6,134,
1473500,12,3,1,0,1,0,0,0,0,0,,0,1,7,134,
1473500,12,4,0,0,0,0,0,0,0,0,,0,1,6,134,
1473500,12,5,0,0,0,0,0,0,0,0,,0,1,6,134,
1473500,12,6,1,0,1,0,0,0,0,0,,0,1,6,134,
1473500,13,1,1,0,1,0,0,0,0,0,,0,1,6,162,
1473500,13,2,2,0,2,0,0,0,0,0,,0,1,7,162,
1473500,13,3,1,0,1,0,0,0,0,0,,0,1,7,162,
1473500,13,4,0,0,0,0,0,0,0,1,bowled,0,1,6,162,6.0
1473500,13,5,1,0,1,0,0,0,0,0,,0,1,8,162,
1473500,13,6,0,0,0,0,0,0,0,0,,0,1,7,162,
1473500,14,1,0,0,0,0,0,0,0,0,,0,1,8,134,
1473500,14,2,0,0,0,0,0,0,0,0,,0,1,8,134,
1473500,14,3,1,0,1,0,0,0,0,0,,0,1,8,134,
1473500,14,4,6,0,6,0,0,0,0,0,,0,1,7,134,
1473500,14,5,0,0,0,0,0,0,0,0,,0,1,7,134,
1473500,14,6,1,0,1,0,0,0,0,0,,0,1,7,134,
1473500,15,1,0,1,1,1,0,0,0,0,,0,1,7,14,
1473500,15,2,1,0,1,0,0,0,0,0,,0,1,7,14,
1473500,15,3,0,0,0,0,0,0,0,0,,0,1,8,14,
1473500,15,4,1,0,1,0,0,0,0,0,,0,1,8,14,
1473500,15,5,0,1,1,1,0,0,0,0,,0,1,7,14,
1473500,15,6,1,0,1,0,0,0,0,0,,0,1,7,14,
1473500,15,7,6,0,6,0,0,0,0,0,,0,1,8,14,
1473500,15,8,2,0,2,0,0,0,0,0,,0,1,8,14,
1473500,16,1,1,0,1,0,0,0,0,0,,0,1,7,134,
1473500,16,2,0,0,0,0,0,0,0,0,,0,1,8,134,
1473500,16,3,0,1,1,1,0,0,0,0,,0,1,8,134,
1473500,16,4,0,0,0,0,0,0,0,0,,0,1,8,134,
1473500,16,5,1,0,1,0,0,0,0,0,,0,1,8,134,
1473500,16,6,6,0,6,0,0,0,0,0,,0,1,7,134,
1473500,16,7,0,1,1,1,0,0,0,0,,0,1,7,134,
1473500,16,8,1,0,1,0,0,0,0,0,,0,1,7,134,
1473500,17,1,0,0,0,0,0,0,0,0,,0,1,7,162,
1473500,17,2,1,0,1,0,0,0,0,0,,0,1,7,162,
1473500,17,3,0,1,1,0,0,0,1,0,,0,1,8,162,
1473500,17,4,1,0,1,0,0,0,0,0,,0,1,7,162,
1473500,17,5,1,0,1,0,0,0,0,0,,0,1,8,162,
1473500,17,6,0,0,0,0,0,0,0,0,,0,1,7,162,
1473500,18,1,1,0,1,0,0,0,0,0,,0,1,8,138,
1473500,18,2,1,0,1,0,0,0,0,0,,0,1,7,138,
1473500,18,3,1,0,1,0,0,0,0,0,,0,1,8,138,
1473500,18,4,1,0,1,0,0,0,0,0,,0,1,7,138,
1473500,18,5,1,0,1,0,0,0,0,0,,0,1,8,138,
1473500,18,6,1,0,1,0,0,0,0,0,,0,1,7,138,
1473500,19,1,0,0,0,0,0,0,0,1,caught,0,1,7,162,7.0
1473500,19,2,0,0,0,0,0,0,0,0,,0,1,9,162,
1473500,19,3,4,0,4,0,0,0,0,0,,0,1,9,162,
1473500,19,4,1,0,1,0,0,0,0,0,,0,1,9,162,
1473500,19,5,0,0,0,0,0,0,0,1,caught,0,1,8,162,8.0
1473500,19,6,2,0,2,0,0,0,0,0,,0,1,10,162,
1473500,0,1,4,0,4,0,0,0,0,0,,1,7,11,158,
1473500,0,2,0,0,0,0,0,0,0,0,,0,7,11,158,
1473500,0,3,0,0,0,0,0,0,0,0,,0,7,11,158,
1473500,0,4,0,0,0,0,0,0,0,0,,0,7,11,158,
1473500,0,5,1,0,1,0,0,0,0,0,,0,7,11,158,
1473500,0,6,0,0,0,0,0,0,0,0,,0,7,12,158,
1473500,1,1,0,0,0,0,0,0,0,0,,0,7,11,9,
1473500,1,2,0,0,0,0,0,0,0,0,,0,7,11,9,
1473500,1,3,0,0,0,0,0,0,0,0,,0,7,11,9,
1473500,1,4,6,0,6,0,0,0,0,0,,0,7,11,9,
1473500,1,5,1,0,1,0,0,0,0,0,,0,7,11,9,
1473500,1,6,0,0,0,0,0,0,0,0,,0,7,12,9,
1473500,2,1,0,0,0,0,0,0,0,0,,0,7,11,158,
1473500,2,2,4,0,4,0,0,0,0,0,,0,7,11,158,
1473500,2,3,4,0,4,0,0,0,0,0,,0,7,11,158,
1473500,2,4,6,0,6,0,0,0,0,0,,0,7,11,158,
1473500,2,5,4,0,4,0,0,0,0,0,,0,7,11,158,
1473500,2,6,1,0,1,0,0,0,0,0,,0,7,11,158,
1473500,3,1,1,0,1,0,0,0,0,0,,0,7,11,9,
1473500,3,2,1,0,1,0,0,0,0,0,,0,7,12,9,
1473500,3,3,4,0,4,0,0,0,0,0,,0,7,11,9,
1473500,3,4,0,0,0,0,0,0,0,1,bowled,0,7,11,9,11.0
1473500,3,5,0,0,0,0,0,0,0,0,,0,7,13,9,
1473500,3,6,1,0,1,0,0,0,0,0,,0,7,13,9,
1473500,4,1,1,0,1,0,0,0,0,0,,0,7,13,158,
1473500,4,2,4,0,4,0,0,0,0,0,,0,7,12,158,
1473500,4,3,1,0,1,0,0,0,0,0,,0,7,12,158,
1473500,4,4,4,0,4,0,0,0,0,0,,0,7,13,158,
1473500,4,5,0,0,0,0,0,0,0,0,,0,7,13,158,
1473500,4,6,1,0,1,0,0,0,0,0,,0,7,13,158,
1473500,5,1,0,0,0,0,0,0,0,0,,0,7,13,9,
1473500,5,2,1,0,1,0,0,0,0,0,,0,7,13,9,
1473500,5,3,1,0,1,0,0,0,0,0,,0,7,12,9,
1473500,5,4,0,0,0,0,0,0,0,0,,0,7,13,9,
1473500,5,5,1,0,1,0,0,0,0,0,,0,7,13,9,
1473500,5,6,4,0,4,0,0,0,0,0,,0,7,12,9,
